A,A,x,
Phototographed,Phototographed,x
Picked,Picked,x
Platt,Platt,x
Poli,Poli,
Polis,Polis,
Polis.,Polis.,x
Pompeii,Pompeii,
Pompeii.,Pompeii.,x
Populonia,Populonia,
Possiable,Possiable,x
Possible,Possible,x
Possibly,Possibly,x
Presumably,Presumably,x
Priene,Priene,
Probably,Probably,x
Professor,Professor,
Ptah,Ptah,
Purchased,Purchased,x
Qurneh,Qurneh,
Ratisbon,Ratisbon,
Reading,Reading,
Recovered,Recovered,x
Rhitsona,Rhitsona,
Rhodes,Rhodes,
River,River,x
Romania,Romania,,
Rome,Rome,,
Rome.,Rome.,x,
"Round""","Round""",x,
Rue,Rue,x,check
Ruvo,Ruvo,,
Said,Said,x,
Salamis,Salamis,,
Samothrace,Samothrace,,
Sanctuary,Sanctuary,x,
Sardis,Sardis,,
School,School,x,
School.,School.,x,
Science,Science,x,
See,See,x,
Sesklo,Sesklo,,
Siad,Siad,x,check
Sicily,Sicily,,
Silver.,Silver.,x,
Slope,Slope,x,
Smyrna,Smyrna,,
Spain,Spain,,
Sparta,Sparta,,
Sparta-,Sparta-,x,
Sparta.,Sparta.,x,
Spartan,Sparta,,
Spink,Spink,x,
Stubbings,Stubbings,x,
Syracuse,Syracuse,,
Syracuse.,Syracuse.,x,
Syracusene+f,Syracusene+f,x,
T.146.II.,T.146.II.,x,
T.75.I,T.75.I,x
T.75.II,T.75.II,x
T.75.II.,T.75.II.,x
Tamassos,Tamassos,
Tanagra,Tanagra,
Tarentum,Tarentum,
Temple,Temple,x
Teos,Teos,
Thames,Thames,
Thasos,Thasos,
The,The,x
Theban,Thebes,
Thebes,Thebes,
Thebes.,Thebes.,x
Thessaly,Thessaly,
This,This,x
Thought,Thought,x
Thpught,Thpught,x
Tiryns,Tiryns,
Tomb,Tomb,x
Tsangli,Tsangli,
Tsani,Tsani,
Tunisia,Tunisia,
URUK,URUK,
University,University,x
Unknown,Unknown,x
Unkown,Unkown,x
Ure,Ure,x
Ure.,Ure.,x
Ushim,Ushim,
WW,WW,x
WWII.,WWII.,x
War,War,x
World,World,x
Zoan,Zoan,
