lemma	def
Πυθόμαντις	the Pythian prophet
Πυθόνικος	of/belonging to Pythian victory
Πυλαία	the autumn-meeting of the Amphictyons at Pylae
Πυλιακός	of Pylus
Πυλοιγενής	sprung from Pylos
Πυρηναῖος	of the Pyrenees
Πυρρώνειος	of Pyrrho
Πύθιος	Pythian
Πύλιος	of Pylos, Pylian; (pr.n.) Pylius, godfather of Heracles
Σάμιος	of Samos
Σάμος	Samos
Σάρδεις	Sardes
Σίφνιος	Siphnian
Σαββατικός	for a Jew
Σαλαμίνιος	Salaminian, of or from Salamis
Σαλαμινιάς	of Salamis
Σαλμυδήσσιος	Salmydessus
Σαμοθρᾴκιος	of Samothrace, Samothracian
Σαρδιανός	from Sardis
Σαρδώ	Sardinia
Σαρπηδόνιος	of Sarpedon
Σαρωνικός	Saronic (Gulf, named after Saron, who died in it)
Σατυρικός	like a Satyr
Σελεύκειος	of Seleucus
Σελινούντιος	of Selinus
Σελινούσιος	of Selinus
Σερίφιος	of Seriphus
Σιβύλλειος	Sibylline
Σιδόνιος	of Sidon
Σιδών	Sidon; Sidonian
Σικελικός	Sicilian
Σικελός	Sicilian, of or from Sicily
Σικυώνια	Sicyonians
Σικυώνιος	of Sicyon
Σιμουντίς	of the river Simoeis
Σιμόεις	Simoeis river
Σκαμάνδριος	of the Scamander; (pr. n.) Astyanax; Scamandrius son of Strophios
Σκιωναῖος	Scionian, inhabitant of Scione
Σκοτουσσαῖος	inhabitant of Scotussa
Σκυθικός	Scythian
Σμυρναῖος	of Smyrna
Σουνιάρατος	worshipped at Sunium
Σουσιγενής	born at Susa
Σούνιον	Sunium
Σπαρτάκειος	of Spartacus
Στρυμών	the Strymon
Στύγιος	Stygian
Στύμφαλος	Stymphalus, a city and mountain of Arcadia
Συβαριτικός	of Sybaris
Συρακόσιος	Syracusan
Συριηγενής	Syrian-born
Σωκρατικός	Socratic, of Socrates
Σύλλειος	of Sulla; partisan of Sulla
Σύριος	Syrian
Ταντάλειος	of or belonging to Tantalus
Ταραντῖνος	of Tarentum
Τελαμών	Telamon
Τερμερεύς	of Termera
Τιτανικός	of or for the Titans
Τραγασαῖος	of or from the Epirotic city Τραγασαί
Τραχίνιος	Trachinian, of Trachis
Τροιζήνιος	of Troezen
Τροιζηνίς	of Troezen
Τρωϊκός	Trojan
Τρώϊος	Trojan
Τυνδάρεος	Tyndarus, Tyndareus, husband of Leda
Τυρσηνίς	Etruscan, Tyrrhenian
Τυρσηνικός	Tyrrhenian, Etruscan
Τυρσηνός	Tyrrhenian, Etruscan
Φαληρικός	of or from Phaleron
Φασιανός	from the river Phasis
Φεραῖος	of Pherae
Φθῖος	Phthian
Φοίβειος	of Phoebus, sacred to him
Φρυνίχειος	of or like Phrynichus
Φρύγιος	Phrygian, of, from Phrygia
Χάλυβος	steel (fr. Chalybes in Pontus)
Χαλκιδικός	of or from Chalcis (in Euboea or Thrace)
Χαρώνιος	of or belonging to Charon
Χιλώνειος	of or from Χίλων
Χῖος	Chian (inhabitant of Chios)
βουλαῖος	of the council
βόρειος	from the quarter of the North wind, northern
εὐσεβής	pious, religious, righteous
εὐτρίαινα	with splendid trident
καινός	new, fresh
κελεύθειος	belonging to the road
κισσοκόμης	ivy-crowned
κτήσιος	belonging to property
κυανοχαίτης	dark-haired
κυβερνήσια	a festival
λιμναῖος	of or from the marsh, stagnant
λύκειος	of or belonging to a wolf; epithet of Apollo
μάκαρ	blessed, happy
μέγας	big, great
νήϊστος	furthest, lowest? 
οὐράνιος	heavenly, of or in heaven, dwelling in heaven
παιδοτρόφος	rearing boys
πατρῷος	of or belonging to the father
πλούσιος	rich, wealthy, opulent
προδομεύς	one who builds before
προπύλαιος	before the gate
προσηῷος	towards the East
προσκλύστιος	he who dashes against
προστατήριος	standing before
προόψιος	foreseeing
σεβαστός	reverenced, august
στρεπτός	flexible, pliant
τραχύς	rugged, rough
φίλιος	friendly, of friendship; dear, beloved
φυσικός	natural, native
χερσονήσιος	peninsular, (pr.adj.) of the Thracian Chersonesus
χρονικός	of or concerning time, temporal
ἀγλαοτρίαινα	he of the bright trident
ἀκραῖος	dwelling on the heights
ἀλεξίκακος	keeping off evil
